index,origin,desc,pv
uf,V0001,Unidade da Federação,"{11: 'Rondônia', 12: 'Acre', 13: 'Amazonas', 14: 'Roraima', 15: 'Pará', 16: 'Amapá', 17: 'Tocantins', 21: 'Maranhão', 22: 'Piauí', 23: 'Ceará', 24: 'Rio Grande do Norte', 25: 'Paraíba', 26: 'Pernambuco', 27: 'Alagoas', 28: 'Sergipe', 29: 'Bahia', 31: 'Minas Gerais', 32: 'Espírito Santo', 33: 'Rio de Janeiro', 35: 'São Paulo', 41: 'Paraná', 42: 'Santa Catarina', 43: 'Rio Grande do Sul', 50: 'Mato Grosso do Sul', 51: 'Mato Grosso', 52: 'Goiás', 53: 'Distrito Federal'}"
moradores,V0022,Total de moradores,{}
tipo_zona,V0026,Tipo de situação censitária,"{1: 'Urbano', 2: 'Rural'}"
tipo_area,V0031,Tipo de área,"{1: 'Capital', 2: 'Resto da RM (Região Metropolitana, excluindo a capital)', 3: 'RIDE (excluindo a capital)', 4: 'Resto da UF (Unidade da Federação, excluindo a região metropolitana e RIDE)'}"
V0025A,V0025A,Seleção do morador de 15 anos ou mais para responder o questionário individual,"{0: 'Não selecionado', 1: 'Selecionado', 9: 'Não aplicável'}"
renda_pc,VDF004,"Faixa de rendimento domiciliar per capita (exclusive o rendimento das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico)","{1: 'Até ¼ salário mínimo', 2: 'Mais de ¼ até ½ salário mínimo', 3: 'Mais de ½ até 1 salário mínimo', 4: 'Mais de 1 até 2 salários mínimos', 5: 'Mais de 2 até 3 salários mínimos', 6: 'Mais de 3 até 5 salários mínimos', 7: 'Mais de 5 salários mínimos'}"
casa_tipo,A001,Tipo do domicílio,"{1: 'Casa', 2: 'Apartamento', 3: 'Habitação em casa de cômodos, cortiço ou cabeça de porco', 9: 'Ignorado'}"
A002010,A002010,Qual é o material que predomina na construção das paredes externas deste domicílio?,"{1: 'Alvenaria com revestimento ou taipa revestida', 2: 'Alvenaria sem revestimento', 3: 'Taipa sem revestimento', 4: 'Madeira apropriada para construção (aparelhada)', 5: 'Madeira aproveitada', 6: 'Outro material', 9: 'Ignorado'}"
A003010,A003010,Material predominante na cobertura (telhado) do domicílio,"{1: 'Telha sem laje de concreto', 2: 'Telha com laje de concreto', 3: 'Somente laje de concreto', 4: 'Madeira apropriada para construção (aparelhada)', 5: 'Zinco, alumínio ou chapa metálica', 6: 'Outro material', 9: 'Ignorado'}"
A004010,A004010,Qual é o material que predomina no piso deste domicílio,"{1: 'Cerâmica, lajota ou pedra (inclusive outros pisos frios como porcelanato e granito)', 2: 'Madeira apropriada para construção (aparelhada) (tábua corrida, taco, parquet e laminado)', 3: 'Cimento', 4: 'Terra', 5: 'Outro material', 9: 'Ignorado'}"
A01001,A01001,Quantos cômodos têm este domicílio,{99: 'Ignorado'}
A011,A011,Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio,{99: 'Ignorado'}
A005010,A005010,Qual é a principal forma de abastecimento de água deste domicílio,"{1: 'Rede geral de distribuição', 2: 'Poço profundo ou artesiano', 3: 'Poço raso, freático ou cacimba', 4: 'Fonte ou nascente', 5: 'Água da chuva armazenada', 6: 'Outra', 9: 'Ignorado'}"
A005012,A005012,Este domicílio está ligado à rede geral de distribuição de água?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A00601,A00601,A água utilizada neste domicílio chega,"{1: 'Canalizada em pelo menos um cômodo', 2: 'Canalizada no terreno ou propriedade', 3: 'Não canalizada', 9: 'Ignorado'}"
A009010,A009010,A água utilizada para beber neste domicílio é,"{1: 'Filtrada', 2: 'Fervida', 3: 'Tratada com hipoclorito de sódio (cloro)', 4: 'Tratada de outra forma no domicílio', 5: 'Mineral industrializada', 6: 'Sem tratamento no domicílio', 9: 'Ignorado'}"
A01401,A01401,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade","{0: 'Nenhum', 99: 'Ignorado'}"
A01402,A01402,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade","{0: 'Nenhum', 99: 'Ignorado'}"
A01403,A01403,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A01501,A01501,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,"{1: 'Rede geral de esgoto ou pluvial', 2: 'Fossa séptica ligada à rede', 3: 'Fossa séptica não ligada à rede', 4: 'Fossa rudimentar', 5: 'Vala', 6: 'Rio, lago, córrego ou mar', 7: 'Outra', 9: 'Ignorado'}"
A016010,A016010,Qual o (principal) destino dado ao lixo,"{1: 'Coletado diretamente por serviço de limpeza (independente da frequência de dias de coleta)', 2: 'Coletado em caçamba de serviço de limpeza', 3: 'Queimado (na propriedade)', 4: 'Enterrado (na propriedade)', 5: 'Jogado em terreno baldio ou logradouro', 6: 'Outro', 9: 'Ignorado'}"
A018011,A018011,Neste domicílio existe televisão em cores,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018012,A018012,Quantos?,{99: 'Ignorado'}
A018013,A018013,Neste domicílio existe geladeira,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018014,A018014,Quantos?,{99: 'Ignorado'}
A018015,A018015,Neste domicílio existe máquina de lavar roupa,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018016,A018016,Quantos?,{99: 'Ignorado'}
A018017,A018017,Neste domicílio existe telefone fixo convencional,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018018,A018018,Quantos?,{99: 'Ignorado'}
A018019,A018019,Neste domicílio existe telefone móvel celular,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018020,A018020,Quantos?,{99: 'Ignorado'}
A018021,A018021,Neste domicílio existe forno micro-ondas,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018022,A018022,Quantos?,{99: 'Ignorado'}
A018023,A018023,"Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018024,A018024,Quantos?,{99: 'Ignorado'}
A018025,A018025,Neste domicílio existe motocicleta,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018026,A018026,Quantos?,{99: 'Ignorado'}
A018027,A018027,Neste domicílio existe automóvel,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018028,A018028,Quantos?,{99: 'Ignorado'}
A01901,A01901,"Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A02101,A02101,"No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)","{1: 'Sim', 2: 'Não'}"
A02102,A02102,Quantos?,{99: 'Ignorado'}
casa_animal,A02201,"Em seu domicílio, há algum animal de estimação","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A02305,A02305,Quantos destes animais são gatos,{99: 'Ignorado'}
A02306,A02306,Quantos destes animais são cachorros,{99: 'Ignorado'}
A02307,A02307,Quantos destes animais são aves,{99: 'Ignorado'}
A02308,A02308,Quantos destes animais são peixes,{99: 'Ignorado'}
cad_sus,B001,O seu domicílio está cadastrado na unidade de saúde da família,"{1: 'Sim', 2: 'Não', 3: 'Não sabe', 9: 'Ignorado'}"
mfc_freq,B003,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?","{1: 'Mensalmente', 2: 'A cada 2 meses', 3: 'De 2 a 4 vezes', 4: 'Uma vez', 5: 'Nunca recebeu', 9: 'Ignorado'}"
condicao_no_domicilio,C004,Condição no domicílio,"{1: 'Pessoa responsável pelo domicílio', 2: 'Cônjuge ou companheiro(a) de sexo diferente', 3: 'Cônjuge ou companheiro(a) do mesmo sexo', 4: 'Filho(a) do responsável e do cônjuge', 5: 'Filho(a) somente do responsável', 6: 'Filho(a) somente do cônjuge', 7: 'Genro ou nora', 8: 'Pai, mãe, padrasto ou madrasta', 9: 'Sogro(a)', 10: 'Neto(a)', 11: 'Bisneto(a)', 12: 'Irmão ou irmã', 13: 'Avô ou avó', 14: 'Outro parente', 15: 'Agregado(a) - Não parente que não compartilha despesas', 16: 'Convivente - Não parente que compartilha despesas', 17: 'Pensionista', 18: 'Empregado(a) doméstico(a)', 19: 'Parente do(a) empregado(a) doméstico(a)'}"
sexo,C006,Sexo,"{1: 'Homem', 2: 'Mulher'}"
idade,C008,Idade do morador na data de referência,{}
cor,C009,Cor ou raça,"{1: 'Branca', 2: 'Preta', 3: 'Amarela', 4: 'Parda', 5: 'Indígena', 9: 'Ignorado'}"
vive_conjugue,C01001,Cônjuge ou companheiro(a) mora em nesse domicílio.,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
tipo_uniao_conjugue,C014,Qual é a natureza dessa união?,"{1: 'Casamento civil', 2: 'União estável (convivência)', 9: 'Ignorado'}"
sabe_ler,D001,Sabe ler e escrever,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
outro_curso_superior,D007,___já concluiu algum outro curso superior de graduação,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
escolaridade,D00901,Qual foi o curso mais elevado que ___frequentou,"{1: 'Creche', 2: 'Pré-escola', 3: 'Classe de alfabetização – CA', 4: 'Alfabetização de jovens e adultos', 5: 'Antigo primário (elementar)', 6: 'Antigo ginasial (médio 1º ciclo)', 7: 'Regular do ensino fundamental ou do 1º grau', 8: 'Educação de jovens e adultos (EJA) ou supletivo do ensino fundamental', 9: 'Antigo científico, clássico etc. (médio 2º ciclo)', 10: 'Regular do ensino médio ou do 2º grau', 11: 'Educação de jovens e adultos (EJA) ou supletivo do ensino médio', 12: 'Superior – graduação', 13: 'Especialização de nível superior (duração mínima de 360 horas)', 14: 'Mestrado', 15: 'Doutorado', 99: 'Ignorado'}"
cargo_cod,E01201,Qual era a ocupação (cargo ou função) que ___ tinha nesse trabalho,{9999: 'Ignorado'}
rendimento_trabalho,E01602,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor em dinheiro),{99999999: 'Ignorado'}
tarefas_domesticas_tempo,E033,". Na semana de___a___ (semana de referência), ___ qual foi o total de horas que dedicou às atividades de cuidados de pessoas e/ou afazeres domésticos?",{999: 'Ignorado'}
renda_trabalho,E01602|E01604|E01802|E01804,Valor total de rendimentos por mes,{}
horas_semanais_trabalho,E017|E019,Valor total de horas por semana trabalhadas,{}
tem_plano_odontologico,I00101,"tem algum plano odontológico particular, de empresa ou órgão público?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
tem_plano_medico,I00102,"tem algum plano de saúde médico particular, de empresa ou órgão público?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J002,J002,"Nas duas últimas semanas, ___ deixou de realizar quaisquer de suas atividades habituais (trabalhar, ir à escola, brincar, afazeres domésticos etc.) por motivo da própria saúde","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J003,J003,"Nas duas últimas semanas, quantos dias _____ deixou de realizar suas atividades habituais, por motivo da própria saúde",{99: 'Ignorado'}
J00402,J00402,Qual foi o principal motivo de saúde que impediu ___ de realizar suas atividades habituais nas duas últimas semanas,"{1: 'Problemas nos ossos e articulações (Dor nas costas, problema no pescoço ou na nuca/ Dor nos braços ou nas mãos/ Artrite ou reumatismo)', 2: 'Dor de cabeça ou enxaqueca', 3: 'Problemas gineco-obstétricos (Problemas menstruais ou da gravidez e parto)', 4: 'Problema odontológico/Dor de dente', 5: 'Problemas respiratórios (Resfriado / gripe /sinusite/ asma / bronquite / pneumonia)', 6: 'Problemas gastrointestinais (Diarreia / vômito / náusea / gastrite / dor de barriga)', 7: 'Dengue, Chikungunya, Zika Vírus ou Febre amarela', 8: 'Problemas cardiovasculares (Pressão alta / doença do coração / AVC ou derrame)', 9: 'Diabetes', 10: 'Câncer (inclusive quimioterapia/radioterapia)', 11: 'Problemas neurológicos (Alzheimer/Esclerose/Doença de Parkinson/Demência', 12: 'Saúde mental (Depressão/ bipolaridade/esquizofrenia/transtorno de ansiedade/outro problema de saúde mental)', 13: 'Lesões ou fraturas provocada (s) por acidentes ou violência', 14: 'Outro problema de saúde', 99: 'Ignorado'}"
J00404,J00404,Este motivo de saúde estava relacionado ao trabalho,"{1: 'Sim', 2: 'Não', 3: 'Não trabalhava/nunca trabalhou', 9: 'Ignorado'}"
J005,J005,Nas duas últimas semanas___ esteve acamado (a),"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J006,J006,"Nas duas últimas semanas, quantos dias _____ esteve acamado (a)",{99: 'Ignorado'}
J007,J007,"Algum médico já deu o diagnóstico de alguma doença crônica, física ou mental, ou doença de longa duração (de mais de 6 meses de duração) a ___","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J00801,J00801,"Alguma dessas doenças limita de alguma forma suas atividades habituais (trabalhar, ir à escola, brincar, afazeres domésticos, etc.)","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J009,J009,"___ costuma procurar o mesmo lugar, mesmo médico ou mesmo serviço de saúde quando precisa de atendimento de saúde","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J01002,J01002,Quando está doente ou precisando de atendimento de saúde___ costuma procurar,"{1: 'Farmácia', 2: 'Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família)', 3: 'Policlínica pública, PAM (Posto de Assistência Médica) ou Centro de Especialidades público', 4: 'UPA (Unidade de Pronto Atendimento), outro tipo de pronto atendimento público (24 horas), pronto-socorro ou emergência de hospital público.', 5: 'Ambulatório de hospital público.', 6: 'Consultório particular, clínica privada ou ambulatório de hospital privado', 7: 'Pronto atendimento ou emergência de hospital privado.', 8: 'Atendimento domiciliar', 9: 'Outro serviço', 99: 'Ignorado'}"
J01101,J01101,Quando ____ consultou um médico pela última vez,"{1: 'Até 1 ano', 2: 'Mais de 1 ano a 2 anos', 3: 'Mais de 2 anos a 3 anos', 4: 'Mais de 3 anos', 5: 'Nunca foi ao médico', 9: 'Ignorado'}"
J012,J012,Quantas vezes ___ consultou um médico nos últimos 12 meses,{999: 'Ignorado'}
J01301,J01301,Quando ___ consultou um dentista pela última vez,"{1: 'Até 1 ano', 2: 'Mais de 1 ano a 2 anos', 3: 'Mais de 2 anos a 3 anos', 4: 'Mais de 3 anos', 5: 'Nunca foi ao dentista', 9: 'Ignorado'}"
J014,J014,"Nas duas últimas semanas, ___ procurou algum lugar, serviço ou profissional de saúde para atendimento relacionado à própria saúde","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J01502,J01502,Qual foi o motivo principal pelo qual ___ procurou atendimento relacionado à própria saúde nas duas últimas semanas,"{1: 'Acidente, lesão ou fratura', 2: 'Doença (dor, febre, diarreia etc) ou continuação de tratamento de doença', 3: 'Problema odontológico, dor de dente ou consulta de rotina ao dentista', 4: 'Reabilitação (fisioterapia, fonoaudiologia, terapia ocupacional etc)', 5: 'Pré-natal', 6: 'Parto', 7: 'Exame complementar de diagnóstico (sangue, urina, imagem, etc)', 8: 'Vacinação', 9: 'Prevenção, check-up médico ou puericultura', 10: 'Solicitação de atestado de saúde', 11: 'Acompanhamento com psicólogo, nutricionista, ou outro profissional de saúde', 12: 'Outro', 99: 'Ignorado'}"
J01602,J01602,Onde ___ procurou o primeiro atendimento de saúde por este motivo nas duas últimas semanas,"{1: 'Farmácia.', 2: 'Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família).', 3: 'Policlínica pública, PAM (Posto de Assistência Médica) ou Centro de Especialidades público', 4: 'UPA (Unidade de Pronto Atendimento), outro tipo de pronto atendimento público (24 horas), pronto-socorro ou emergência de hospital público.', 5: 'Ambulatório de hospital público', 6: 'Consultório particular clínica privada ou ambulatório de hospital privado', 7: 'Pronto atendimento ou emergência de hospital privado.', 8: 'No domicílio', 9: 'Outro serviço', 99: 'Ignorado'}"
J01701,J01701,"Nessa primeira vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas","{1: 'Foi agendado para outro dia/outro local', 2: 'Não foi atendido', 3: 'Foi atendido', 9: 'Ignorado'}"
J01802,J01802,Por que motivo ___ não foi atendido(a) na primeira vez que procurou atendimento de saúde nas duas últimas semanas,"{1: 'Não conseguiu vaga nem pegar senha', 2: 'Não tinha médico ou dentista atendendo', 3: 'Não havia serviço ou profissional de saúde especializado para atender', 4: 'Esperou muito e desistiu', 5: 'O serviço de saúde não estava funcionando', 6: 'Os equipamentos do serviço de saúde não estavam funcionando ou disponíveis para uso', 7: 'Não podia pagar pela consulta', 8: 'Outro', 9: 'Ignorado'}"
J019,J019,"Nas duas últimas semanas, quantas vezes ___ voltou a procurar atendimento de saúde por este mesmo motivo",{99: 'Ignorado'}
J02002,J02002,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,"{1: 'Farmácia.', 2: 'Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família).', 3: 'Policlínica pública, PAM (Posto de Assistência Médica) ou Centro de Especialidades público', 4: 'UPA (Unidade de Pronto Atendimento), outro tipo de pronto atendimento público (24 horas), pronto-socorro ou emergência de hospital público.', 5: 'Ambulatório de hospital público.', 6: 'Consultório particular, clínica privada ou ambulatório de hospital privado', 7: 'Pronto atendimento ou emergência de hospital privado.', 8: 'No domicílio', 9: 'Outro serviço', 99: 'Ignorado'}"
J021,J021,"Nessa última vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas, ___ foi atendido (a)","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J022010,J022010,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,"{1: 'Não conseguiu vaga nem pegar senha', 2: 'Não tinha médico ou dentista atendendo', 3: 'Não havia serviço ou profissional de saúde especializado para atender', 4: 'Esperou muito e desistiu', 5: 'O serviço de saúde não estava funcionando', 6: 'Os equipamentos do serviço de saúde não estavam funcionando ou disponíveis para uso', 7: 'Não podia pagar pela consulta', 8: 'Outro', 9: 'Ignorado'}"
J023,J023,Este serviço de saúde onde___ foi atendido era:,"{1: 'Público', 2: 'Privado', 3: 'Não sabe/Não lembra'}"
J024,J024,Este atendimento de saúde de ___ foi coberto por algum plano de saúde,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J025,J025,___ pagou algum valor por este atendimento de saúde recebido nas duas últimas semanas,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J026,J026,O atendimento de ___ foi feito pelo SUS,"{1: 'Sim', 2: 'Não', 3: 'Não sabe/Não lembra'}"
J02702,J02702,Qual foi o principal atendimento de saúde que ___ recebeu?,"{1: 'Consulta médica', 2: 'Consulta odontológica', 3: 'Consulta com outro profissional de saúde (fisioterapeuta, fonoaudiólogo, psicólogo, nutricionista, enfermeiro, etc.)', 4: 'Atendimento com agente comunitário de saúde', 5: 'Atendimento na farmácia', 6: 'Vacinação', 7: 'Medição/aferição de pressão arterial, Injeção, curativo', 8: 'Quimioterapia, radioterapia, hemodiálise ou hemoterapia', 9: 'Exame complementar de diagnóstico (sangue, urina, imagem, etc)', 10: 'Gesso ou imobilização', 11: 'Pequena cirurgia em ambulatório', 12: 'Internação hospitalar ou cirurgia', 13: 'Práticas integrativas e complementares como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan e liang gong.', 14: 'Práticas de promoção de saúde, tais como grupos de atividade física, orientação sobre alimentação saudável, uso abusivo de outras drogas, grupo de cessação de tabagismo.', 15: 'Outro atendimento', 99: 'Ignorado'}"
J02901,J02901,"Neste atendimento de ___, foi receitado algum medicamento","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J03001,J03001,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta),"{1: 'Sim, todos', 2: 'Sim, alguns', 3: 'Não, nenhum', 9: 'Ignorado'}"
J03102,J03102,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,"{1: 'Não conseguiu obter no serviço público de saúde', 2: 'Não conseguiu o(s) medicamento(s) no programa Aqui Tem Farmácia Popular', 3: 'Não tinha farmácia próxima ou teve dificuldade de transporte', 4: 'Não conseguiu encontrar todos os medicamentos na farmácia', 5: 'Não tinha dinheiro para comprar', 6: 'Não achou necessário', 7: 'Desistiu de procurar, pois melhorou', 8: 'Outro', 9: 'Ignorado'}"
J032,J032,Algum dos medicamentos foi coberto por plano de saúde,"{1: 'Sim, todos', 2: 'Sim, alguns', 3: 'Não, nenhum', 9: 'Ignorado'}"
J03301,J03301,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular,"{1: 'Sim, todos', 2: 'Sim, alguns', 3: 'Não, nenhum', 9: 'Ignorado'}"
J034,J034,Algum dos medicamentos foi obtido em serviço público de saúde,"{1: 'Sim, todos', 2: 'Sim, alguns', 3: 'Não, nenhum', 9: 'Ignorado'}"
J035,J035,___ pagou algum valor pelos medicamentos,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J03602,J03602,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde","{1: 'Não houve necessidade', 2: 'Não tinha dinheiro', 3: 'O local de atendimento era distante ou teve dificuldade de transporte', 4: 'Horário incompatível', 5: 'O atendimento é muito demorado', 6: 'O estabelecimento não possuía especialista compatível com suas necessidades', 7: 'Achou que não tinha direito', 8: 'Não tinha quem o(a) acompanhasse', 9: 'Não gostava dos profissionais do estabelecimento', 10: 'Greve nos serviços de saúde', 11: 'Outro motivo', 99: 'Ignorado'}"
J037,J037,"Nos últimos 12 meses, ___ ficou internado(a) em hospital por 24 horas ou mais","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
J038,J038,"Nos últimos 12 meses, quantas vezes ___ esteve internado(a)",{99: 'Ignorado'}
J039,J039,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,"{1: 'Parto normal', 2: 'Parto cesáreo', 3: 'Tratamento clínico', 4: 'Tratamento psiquiátrico', 5: 'Cirurgia', 6: 'Exames complementares de diagnóstico', 7: 'Outro', 9: 'Ignorado'}"
J04001,J04001,Quanto tempo em meses o morador ficou internado,"{88: 'Morador ainda está internado', 99: 'Ignorado'}"
