variable,variable_description,category
CGIPD,"With respect to your Parkinson's disease condition, how would you describe yourself now compared with your last study visit?","Clinical Global Impression of Change (PD)"
DepressionHx,"Have you had depression?","Your Health History"
DepressionHxTrt,"Did you receive treatment for your depression?","Your Health History"
DepressionHxLim,"Did your depression limit your activities?","Your Health History"
AnxietyHx,"Have you had anxiety?","Your Health History"
AnxietyHxTrt,"Did you receive treatment for your anxiety?","Your Health History"
AnxietyHxLim,"Did your anxiety limit your activities?","Your Health History"
AnxietyDia,"Has a Physician diagnosed you with this condition","Your Medical History"
Depress,"Have you had depression?","Your Medical History"
LeisureHours,"On average, how many hours per day did you enage in sitting activities?","Your Physical Activities"
WalkDay,"Walking activities: Over the past 7 days, how often did you take a walk outside your home or yard for any reason? For example, for fun or exercise, walking to work, walking the dog etc.?","Your Physical Activities"
WalkHours,"On average, how many hours per day did you spend walking","Your Physical Activities"
LightSportDay,"Light sport and recreational activities: Over the past 7 days, how often did you engage in light sport or recreational activities such as bowling, gold with a cart, shuffleboard, fishing from a boat or pier or other similar activities?","Your Physical Activities"
LightSportHours,"On average, how many hours per day did you engage in these light sport or recreational activities?","Your Physical Activities"
ModSportDay,"Moderate sport and recreational activities: Over the past 7 days, how often did you engage in moderate sport recreational activities such as doubles tennis, ballroom dancing, hunting, ice skating, gold without a care, softball or other similar activities?","Your Physical Activities"
ModSportHours,"On average, how many hours per day did you engage in these moderate sport and recreational activities?","Your Physical Activities"
StrenSportDay,"Strenuous sport and recreational activities: Over the past 7 days, how often did you engage in strenuous sport activities such as jogging, swimming, cycling, singles tennis, aerobic dance, skiiing (downhill or cross country) or other similar activities?","Your Physical Activities"
StrenSportHours,"On average, how many hours per day did you engage in these strenuous sport and recreational activities?","Your Physical Activities"
StrengthDay,"Muscle strength: Over the past 7 days, how often did you do exercise specifically to increase muscle strength and endurance, such as lifting weights or push-ups etc.?","Your Physical Activities"
StrengthHours,"On average, how many hours per day did you engage in exercise to increase muscle strength and endurance?","Your Physical Activities"
HouseLight,"Household activity: During the past 7 days, have you done any light housework, such as dusting or washing dishes? ","Your Physical Activities"
HouseHeavy,"Household activity: During the past 7 days, have you done any heavy housework or chores such as vacuuming, scrubbing floors, washing windows, or carrying wood? ","Your Physical Activities"
HouseRepair,"Household activity: During the past 7 days, did you engage in home repairs like painting, wallpapering, electrical work etc.? ","Your Physical Activities"
HouseLawn,"Household activity: During the past 7 days, did you engage in lawn work or yard care, including snow or leaf removal, wood chopping, etc.? ","Your Physical Activities"
HouseGarden,"Household activity: During the past 7 days, did you engage in outdoor gardening? ","Your Physical Activities"
HouseCare,"Household activity: During the past 7 days, did you engage in caring for another person, such as children, dependent, spouse, or another adult? ","Your Physical Activities"
Work,"Work-Related Activity: During the past 7 days, did you work for pay or as a volunteer? ","Your Physical Activities"
WorkActive,"Which of the following categories best describes the amount of physical activity required on your job and/or volunteer work?","Your Physical Activities"
Mobility,"Mobility ","Your Physical Experiences"
Care,"Self-care","Your Physical Experiences"
Active,"Usual activties","Your Physical Experiences"
Pain,"Pain/discomfort","Your Physical Experiences"
Anxious,"Anxiety/depression","Your Physical Experiences"onmental Exposure Questionnaire: Physical Activity and Sleep"
pa1a,"Vigorous physical activity did you engage in?","Environmental Exposure Questionnaire: Physical Activity and Sleep"
pa7a,"Vigorous physical activity did you engage in?","Environmental Exposure Questionnaire: Physical Activity and Sleep"
MindStress,"What is the level of stress you perceive in your daily life?","The Role of Stress in Parkinson's Disease"
MindAnxietyPDSympTremor,"Tremor (trembling or shaking)","The Role of Stress in Parkinson's Disease"
MindAnxietyPDSympSleep,"Sleeping difficulties","The Role of Stress in Parkinson's Disease"
MindAnxietyPDSympOther,"Other","The Role of Stress in Parkinson's Disease"